Rank,Car #,School,Team,Distance Run 1,Time Run 1,# Minor Penalty Run 1,Total Dist Run 1,Total Time Run 1,Distance Run 2,Time Run 2,# Minor Penalty Run 2,Total Dist Run 2,Total Time Run 2,Best Time,Best Distance,Score
52,60,Michigan Tech Univ,Blizzard Baja,2,17.329,0,2,0,,,,,,0,2,7
53,75,Univ of Calif - Los Angeles,Bruin Racing,2,64.364,0,2,0,,,,,,0,2,7
54,91,Northern Illinois Univ,Niu Baja,2,15.133,0,2,0,,,,,,0,2,7
55,101,Univ of Kansas - Lawrence,JMSBaja,2,32.437,0,2,0,,,,,,0,2,7
56,109,Univ of Illinois - Urbana Champaign,Off-Road Illini,2,22.824,0,2,0,,,,,,0,2,7
57,24,Northwestern Univ,Northwestern Motorcats,2,26.417,1,1,0,,,,,,0,1,3.5
,14,Univ of Texas - Rio Grande,RGV Baja Racing,,,,,,,,,,,,,0
,20,Embry-Riddle Aero Univ - Daytona Beach,Lady Eagles BAJA,,,,,,,,,,,,,0
,25,Middle Tennessee State Univ,MTSU motorsports,,,,,,,,,,,,,0
,26,East Carolina Univ,East Carolina,,,,,,,,,,,,,0
,30,Lipscomb Univ,Lipscomb Motor Sports,,,,,,,,,,,,,0
,31,Millersville Univ of PA,Millersville Baja,,,,,,,,,,,,,0
,32,Cummins College Of Engineering,TZ5,,,,,,,,,,,,,0
,36,Wright State Univ,Raider Racers,,,,,,,,,,,,,0
,39,Oklahoma Christian Univ,Eagle Heavy 1,,,,,,,,,,,,,0
,40,Univ of Tennessee -Chattanooga,UTC Racing Mocs,,,,,,,,,,,,,0
,41,New Jersey Institute of Technology,Highlander Racing,,,,,,,,,,,,,0
,42,"D Y Patil College Of Engineering, Akurdi",Team Predators Racing,,,,,,,,,,,,,0
,47,Mississippi State Univ,MSState Mud Dawgs,,,,,,,,,,,,,0
,56,North Carolina A & T State Univ,Aggie Racing,,,,,,,,,,,,,0
,58,Univ of Virginia,Virginia Motorsports,,,,,,,,,,,,,0
,62,Southern Illinois Univ - Edwardville,Cougar Baja,,,,,,,,,,,,,0
,64,Univ of Tennessee - Martin,SKYHAWK Racing,,,,,,,,,,,,,0
,66,Ohio Northern Univ,Polar Bear Racing,,,,,,,,,,,,,0
,69,Olivet Nazarene Univ,ONU Racing19,,,,,,,,,,,,,0
,77,Missouri State University,MSU Baja,,,,,,,,,,,,,0
,86,Univ of Missouri - Kansas City,UMKC Baja Racing,,,,,,,,,,,,,0
,92,Louisiana State Univ,Baja Bengals,,,,,,,,,,,,,0
,95,Univ of Arkansas - Fayetteville,Full Boar Racing,,,,,,,,,,,,,0
,107,Miami Univ,Redhawk Racing,,,,,,,,,,,,,0
,114,Univ of Missouri,Mizzou Baja Racing,,,,,,,,,,,,,0
,115,Univ of Alabama - Birmingham,Blazer Motorsports,,,,,,,,,,,,,0
,116,Univ of Notre Dame,Irish Racing,,,,,,,,,,,,,0
,120,University of Mount Union,Raider Racing,,,,,,,,,,,,,0
,126,George Washington Univ,GW Baja,,,,,,,,,,,,,0
